CreationTime,InsertionTime,CreationDate,CreationHour,ReceivingHost,ProductsReceived,BytesReceived,Latency,CountyCode,StateCode,State
20180625135646,20180625144841,0625,13,wisc,3831,301568624,3115.32,48113,47,WI
20180625135646,20180625144841,0625,13,wisc,13,656990,3115.0377,48113,47,WI
20180625135647,20180625144842,0625,13,wisc,5992,1390872947,3114.4226,48113,47,WI
20180625135940,20180625144854,0625,13,wisc,29,1298719,2954.4505,48113,47,WI
20180625135940,20180625144827,0625,13,uva,29,1298719,2927.2883,29203,44,VA
20180625135958,20180625144855,0625,13,wisc,5811,421664842,2936.7056,48113,47,WI
20180625135958,20180625144828,0625,13,uva,5811,421664842,2909.551,29203,44,VA
20180625135959,20180625144855,0625,13,wisc,8856,1914054159,2935.7552,48113,47,WI
20180625135959,20180625144828,0625,13,uva,8856,1914054159,2908.6008,29203,44,VA
20180625141235,20180625144907,0625,14,uva,7748,1761177914,2191.3414,29203,44,VA
20180625141235,20180625144906,0625,14,uva,4340,240826630,2191.535,29203,44,VA
20180625141508,20180625144943,0625,14,wisc,53,3531707,2074.9688,48113,47,WI
20180625141603,20180625144944,0625,14,wisc,5432,338139886,2021.1785,48113,47,WI
20180625141604,20180625144945,0625,14,wisc,9895,2256927228,2020.5466,48113,47,WI
20180625144753,20180625145026,0625,14,uva,133,8107761,153.02021,29203,44,VA
20180625144755,20180625144755,0625,14,uva,1,83766,0.346568,29203,44,VA
20180625144801,20180625145048,0625,14,wisc,17915,998278974,167.09906,48113,47,WI
20180625144801,20180625145048,0625,14,wisc,137,8502347,167.09735,48113,47,WI
20180625144809,20180625145048,0625,14,wisc,30080,5415148352,159.49055,48113,47,WI
20180625144835,20180625144836,0625,14,wisc,7,535953,0.55658,48113,47,WI
20180625144836,20180625144837,0625,14,wisc,11,553336,0.594927,48113,47,WI
20180625144839,20180625144840,0625,14,wisc,35,2803573,0.6118,48113,47,WI
20180625144853,20180625145135,0625,14,uva,139,8743882,162.56699,29203,44,VA
20180625144905,20180625144905,0625,14,uva,41,2905121,0.296812,29203,44,VA
20180625145035,20180625145035,0625,14,uva,17910,996135156,0.113646,29203,44,VA
20180625145036,20180625145037,0625,14,uva,30122,5686151513,0.163381,29203,44,VA
20180625145147,20180625145147,0625,14,uva,18071,1045834134,0.046236,29203,44,VA
20180625145148,20180625145148,0625,14,uva,31048,6467919922,0.106024,29203,44,VA
20180625145151,20180625145151,0625,14,uva,140,8788787,0.200639,29203,44,VA
20180625145253,20180625145254,0625,14,uva,31735,6558769855,0.413086,29203,44,VA
20180625145253,20180625145253,0625,14,uva,18634,1073272443,0.191989,29203,44,VA
20180625145406,20180625145407,0625,14,uva,32358,6845608562,0.176937,29203,44,VA
20180625145406,20180625145406,0625,14,uva,18691,1095808481,0.130574,29203,44,VA
20180627154349,20180627163945,0627,15,wisc,51,2625601,3355.5814,48113,47,WI
20180627154356,20180627163945,0627,15,wisc,5368,301733888,3349.0894,48113,47,WI
20180627154357,20180627163946,0627,15,wisc,8248,1277797147,3348.9181,48113,47,WI
20180627154604,20180627163953,0627,15,uva,56,2924519,3229.0711,29203,44,VA
20180627154638,20180627163955,0627,15,uva,7642,435820142,3197.4988,29203,44,VA
20180627154641,20180627163956,0627,15,uva,11474,1776813463,3194.8291,29203,44,VA
20180627155311,20180627164058,0627,15,wisc,85,4089354,2866.8694,48113,47,WI
20180627155313,20180627164058,0627,15,wisc,12479,688961771,2865.1031,48113,47,WI
20180627155314,20180627164059,0627,15,wisc,18704,3095560116,2864.9316,48113,47,WI
20180627155750,20180627164200,0627,15,wisc,121,5331061,2649.053,48113,47,WI
20180627155845,20180627164216,0627,15,wisc,14470,881409118,2611.3872,48113,47,WI
20180627155846,20180627164217,0627,15,wisc,22673,4262704773,2611.0254,48113,47,WI
20180627155929,20180627164043,0627,15,uva,124,5518917,2473.9329,29203,44,VA
20180627155929,20180627164224,0627,15,wisc,124,5518917,2575.0329,48113,47,WI
20180627155959,20180627164046,0627,15,uva,15295,936824624,2447.5275,29203,44,VA
20180627155959,20180627164227,0627,15,wisc,15295,936824624,2548.253,48113,47,WI
20180627155959,20180627164227,0627,15,wisc,24111,4509039083,2547.3626,48113,47,WI
20180627155959,20180627164046,0627,15,uva,24111,4509039083,2446.6368,29203,44,VA
20180627160311,20180627164057,0627,16,uva,14,521813,2266.8799,29203,44,VA
20180627160311,20180627164058,0627,16,uva,3773,611436130,2266.6998,29203,44,VA
20180627160311,20180627164057,0627,16,uva,2549,151725433,2266.8827,29203,44,VA
20180627161835,20180627164336,0627,16,wisc,76,6032439,1501.2421,48113,47,WI
20180627161836,20180627164336,0627,16,wisc,14349,835468846,1500.1531,48113,47,WI
20180627161837,20180627164337,0627,16,wisc,21120,3598129489,1499.5555,48113,47,WI
20180627162744,20180627164158,0627,16,uva,116,8302180,853.70309,29203,44,VA
20180627162806,20180627164158,0627,16,uva,23429,1228820043,832.60448,29203,44,VA
20180627162806,20180627164159,0627,16,uva,32470,5327294165,832.391,29203,44,VA
20180627163241,20180627164459,0627,16,wisc,153,11081149,738.4076,48113,47,WI
20180627163258,20180627164501,0627,16,wisc,37655,6159235374,722.34383,48113,47,WI
20180627163258,20180627164501,0627,16,wisc,26434,1441191932,722.33606,48113,47,WI
20180627163407,20180627164212,0627,16,uva,155,11624365,484.76668,29203,44,VA
20180627163407,20180627164506,0627,16,wisc,155,11624365,658.46955,48113,47,WI
20180627163606,20180627164214,0627,16,uva,30699,1574936644,367.84198,29203,44,VA
20180627163606,20180627164214,0627,16,uva,41842,6510186555,367.79508,29203,44,VA
20180627163606,20180627164513,0627,16,wisc,30700,1574991329,546.32902,48113,47,WI
20180627163606,20180627163908,0627,16,uva,1,54685,181.19129,29203,44,VA
20180627163606,20180627163853,0627,16,wisc,1,54685,166.81467,48113,47,WI
20180627163606,20180627164513,0627,16,wisc,41843,6510213102,546.43205,48113,47,WI
20180627163912,20180627163913,0627,16,uva,1,86355,1.327176,29203,44,VA
20180627163912,20180627163912,0627,16,wisc,2,112902,0.105414,48113,47,WI
20180627165939,20180628143249,0627,16,uva,4,170847,77589.972,29203,44,VA
20180627165959,20180628143250,0627,16,uva,1835,112297646,77570.476,29203,44,VA
20180627165959,20180628143250,0627,16,uva,2509,496835426,77570.48,29203,44,VA
20180627170416,20180628143256,0627,17,uva,9,681482,77319.827,29203,44,VA
20180627170624,20180628143257,0627,17,uva,5762,139419070,77193.122,29203,44,VA
20180627170624,20180628143257,0627,17,uva,5910,585704496,77193.177,29203,44,VA
20180628132149,20180628142046,0628,13,uva,3,161686,3536.6913,29203,44,VA
20180628132255,20180628142052,0628,13,uva,3078,123681476,3477.5861,29203,44,VA
20180628132255,20180628142053,0628,13,uva,3122,338913249,3477.4742,29203,44,VA
20180628135250,20180628142220,0628,13,uva,33,1062822,1770.6768,29203,44,VA
20180628135255,20180628142222,0628,13,uva,9137,522175121,1766.8494,29203,44,VA
20180628135255,20180628142221,0628,13,uva,12211,2248176091,1766.8578,29203,44,VA
20180628135751,20180628142302,0628,13,uva,50,1692162,1511.3786,29203,44,VA
20180628135751,20180628142037,0628,13,wisc,50,1692162,1366.0329,48113,47,WI
20180628135846,20180628142324,0628,13,uva,12055,749204917,1477.9863,29203,44,VA
20180628135847,20180628142325,0628,13,uva,16573,3039561308,1477.902,29203,44,VA
20180628135959,20180628142041,0628,13,wisc,11792,787427809,1241.4272,48113,47,WI
20180628135959,20180628142041,0628,13,wisc,17030,3157872782,1241.788,48113,47,WI
20180628135959,20180628142336,0628,13,uva,13258,810959773,1416.7347,29203,44,VA
20180628135959,20180628142336,0628,13,uva,18148,3179494282,1417.0395,29203,44,VA
20180628140213,20180628142044,0628,14,wisc,8,458031,1111.0703,48113,47,WI
20180628140303,20180628142046,0628,14,wisc,1590,428709195,1062.6839,48113,47,WI
20180628140303,20180628142045,0628,14,wisc,656,64421257,1062.8853,48113,47,WI
20180628141647,20180628142443,0628,14,uva,31,2140731,475.63021,29203,44,VA
20180628141727,20180628142443,0628,14,uva,11110,2958032745,436.14418,29203,44,VA
20180628141727,20180628142444,0628,14,uva,5971,441043844,436.1162,29203,44,VA
20180628141944,20180628142126,0628,14,wisc,29,3149729,101.82286,48113,47,WI
20180628142035,20180628142036,0628,14,uva,90,7136828,0.513729,29203,44,VA
20180628142044,20180628142045,0628,14,uva,192,28369823,1.152934,29203,44,VA
20180628142145,20180628142145,0628,14,wisc,10232,2725786138,0.53536,48113,47,WI
20180628142157,20180628142157,0628,14,wisc,5602,410428908,0.502516,48113,47,WI
20180628142221,20180628142221,0628,14,uva,364,57779854,0.133123,29203,44,VA
20180628142221,20180628142221,0628,14,uva,152,12915644,0.104284,29203,44,VA
20180628142246,20180628142247,0628,14,wisc,30,3273415,0.26066,48113,47,WI
20180628142310,20180628142311,0628,14,wisc,5649,416098655,0.620531,48113,47,WI
20180628142312,20180628142313,0628,14,wisc,10359,2750134728,0.778142,48113,47,WI
20180628142313,20180628142317,0628,14,uva,194,16875459,3.897324,29203,44,VA
20180628142313,20180628142319,0628,14,uva,444,74089746,5.858318,29203,44,VA
20180628142416,20180628142418,0628,14,wisc,5691,417825831,2.000535,48113,47,WI
20180628142441,20180628142442,0628,14,wisc,10429,2756869963,0.299871,48113,47,WI
20180628142452,20180628142452,0628,14,uva,33,3373654,0.318847,29203,44,VA
20180628142452,20180628142452,0628,14,wisc,32,3354909,0.327619,48113,47,WI
20180628142558,20180628142558,0628,14,uva,6486,506417876,0.166001,29203,44,VA
20180628142608,20180628142608,0628,14,wisc,5743,423868512,0.323447,48113,47,WI
20180628142608,20180628142608,0628,14,uva,12426,3411492315,0.028026,29203,44,VA
20180628142615,20180628142616,0628,14,wisc,10603,2788601575,1.147098,48113,47,WI
20180628142701,20180628142702,0628,14,wisc,5756,424648284,0.767231,48113,47,WI
20180628142701,20180628142701,0628,14,uva,6557,509593817,0.035151,29203,44,VA
20180628142716,20180628142717,0628,14,wisc,33,3403416,0.986824,48113,47,WI
20180628142716,20180628142716,0628,14,uva,34,3422161,0.177445,29203,44,VA
20180628142721,20180628142721,0628,14,uva,12527,3440457710,0.139615,29203,44,VA
20180628142721,20180628142722,0628,14,wisc,10631,2794340248,1.443559,48113,47,WI
20180628142740,20180628142740,0628,14,wisc,5785,426401729,0.449388,48113,47,WI
20180628142740,20180628142740,0628,14,wisc,10682,2799075805,0.265837,48113,47,WI
20180628142817,20180628142817,0628,14,uva,37,3503425,0.210771,29203,44,VA
20180628142845,20180628142846,0628,14,uva,6892,534227136,0.600757,29203,44,VA
20180628142855,20180628142855,0628,14,uva,13058,3513187814,0.096982,29203,44,VA
20180628142905,20180628142905,0628,14,uva,38,3515072,0.686451,29203,44,VA
20180628142958,20180628142958,0628,14,uva,7994,567491840,0.023257,29203,44,VA
20180628143013,20180628143013,0628,14,uva,14352,3621057464,0.277339,29203,44,VA
20180628143054,20180628143054,0628,14,uva,39,3543639,0.110703,29203,44,VA
20180628143114,20180628143115,0628,14,uva,9157,616615466,0.131318,29203,44,VA
20180628143114,20180628143114,0628,14,uva,15860,3790298319,0.126573,29203,44,VA
20180628143128,20180628143128,0628,14,uva,40,3558857,0.620956,29203,44,VA
20180628143211,20180628143212,0628,14,uva,16856,3808264671,0.094812,29203,44,VA
20180628143217,20180628143217,0628,14,uva,10475,628148552,0.034808,29203,44,VA
20180628143304,20180628143304,0628,14,uva,42,3801974,0.201193,29203,44,VA
20180628143342,20180628143342,0628,14,uva,10626,656360392,0.126901,29203,44,VA
20180628143342,20180628143343,0628,14,uva,17341,3936374245,0.110354,29203,44,VA
20180628143450,20180628143450,0628,14,uva,10946,680496980,0.130731,29203,44,VA
20180628143457,20180628143457,0628,14,uva,17901,4052772808,0.056556,29203,44,VA
20180628143613,20180628143614,0628,14,uva,11034,689526512,0.115452,29203,44,VA
20180628143619,20180628143619,0628,14,uva,18127,4109373032,0.436116,29203,44,VA
20180628143710,20180628143711,0628,14,uva,46,3906581,0.273819,29203,44,VA
20180628143751,20180628143752,0628,14,uva,18525,4210888557,0.236166,29203,44,VA
20180628143756,20180628143756,0628,14,uva,11200,712356045,0.038114,29203,44,VA
20180628143805,20180628143805,0628,14,uva,47,4144174,0.153724,29203,44,VA
20180628143906,20180628143906,0628,14,uva,19181,4356550956,0.403435,29203,44,VA
20180628143908,20180628143908,0628,14,uva,11571,746647100,0.359179,29203,44,VA
20180628144003,20180628144004,0628,14,uva,48,4201145,0.559082,29203,44,VA
20180628144027,20180628144027,0628,14,uva,11774,770109672,0.197301,29203,44,VA
20180628144034,20180628144035,0628,14,uva,19684,4662954565,0.095245,29203,44,VA
20180628144120,20180628144120,0628,14,uva,49,4474920,0.194414,29203,44,VA
20180628144158,20180628144158,0628,14,uva,12153,809217944,0.107208,29203,44,VA
20180628144205,20180628144205,0628,14,uva,20436,4780574633,0.057694,29203,44,VA
20180628144331,20180628144331,0628,14,uva,13153,862892156,0.159867,29203,44,VA
20180628144331,20180628144332,0628,14,uva,21934,4922163089,0.169175,29203,44,VA
20180628144433,20180628144433,0628,14,uva,13240,870991975,0.149185,29203,44,VA
20180628144435,20180628144436,0628,14,uva,22146,5001562789,0.909155,29203,44,VA
20180628144556,20180628144556,0628,14,uva,23298,5143925472,0.209876,29203,44,VA
20180628144556,20180628144557,0628,14,uva,14262,909450488,0.220136,29203,44,VA
20180628144703,20180628144704,0628,14,uva,50,4511106,0.268202,29203,44,VA
20180628144706,20180628144706,0628,14,uva,15255,931903044,0.573635,29203,44,VA
20180628144711,20180628144712,0628,14,uva,24392,5278162381,0.566451,29203,44,VA
20180628144810,20180628144811,0628,14,uva,15272,943121493,0.65073,29203,44,VA
20180628144814,20180628144816,0628,14,uva,24636,5520300101,1.842658,29203,44,VA
20180628144924,20180628144924,0628,14,uva,15342,963326998,0.184021,29203,44,VA
20180628144926,20180628144927,0628,14,uva,24964,5790065154,0.214251,29203,44,VA
20180628145050,20180628145050,0628,14,uva,15759,1006626790,0.13019,29203,44,VA
20180628145052,20180628145053,0628,14,uva,25940,6069005610,0.945712,29203,44,VA
20180628145204,20180628145204,0628,14,uva,16104,1030598110,0.086441,29203,44,VA
20180628145214,20180628145214,0628,14,uva,26513,6338237418,0.056382,29203,44,VA
20180628145336,20180628145336,0628,14,uva,16549,1056267658,0.157438,29203,44,VA
20180628145341,20180628145341,0628,14,uva,27186,6411558439,0.035738,29203,44,VA
20180628145444,20180628145444,0628,14,uva,27607,6445563856,0.531432,29203,44,VA
20180628145447,20180628145447,0628,14,uva,17029,1077569855,0.035512,29203,44,VA
20180628145607,20180628145607,0628,14,uva,28560,6620349912,0.212039,29203,44,VA
20180628145611,20180628145611,0628,14,uva,17680,1117137566,0.026636,29203,44,VA
20180628145716,20180628145716,0628,14,uva,18200,1157457966,0.07952,29203,44,VA
20180628145727,20180628145727,0628,14,uva,29171,6745122722,0.03052,29203,44,VA
20180628145840,20180628145840,0628,14,uva,18664,1183857020,0.109754,29203,44,VA
20180628145845,20180628145846,0628,14,uva,29723,6871263616,0.258734,29203,44,VA
20180628145948,20180628145949,0628,14,uva,60,5184414,0.15096,29203,44,VA
20180628145959,20180628145959,0628,14,uva,31053,7099376791,0.097553,29203,44,VA
20180628145959,20180628145959,0628,14,uva,19497,1229043602,0.100058,29203,44,VA
20180628150000,20180628150001,0628,15,uva,1,1363074,0.70606,29203,44,VA
20180628150048,20180628150048,0628,15,uva,69,11151251,0.100631,29203,44,VA
20180628150101,20180628150101,0628,15,uva,196,122062045,0.20318,29203,44,VA
20180628150227,20180628150227,0628,15,uva,118,31080577,0.104929,29203,44,VA
20180628150228,20180628150228,0628,15,uva,608,358881378,0.136271,29203,44,VA
20180628150326,20180628150326,0628,15,uva,1,49771,0.236847,29203,44,VA
20180628150342,20180628150343,0628,15,uva,175,54693861,0.421021,29203,44,VA
20180628150343,20180628150344,0628,15,uva,1070,654736364,0.122676,29203,44,VA
20180628150429,20180628150429,0628,15,uva,3,823001,0.255424,29203,44,VA
20180628150506,20180628150507,0628,15,uva,250,83224255,0.130658,29203,44,VA
20180628150510,20180628150511,0628,15,uva,1716,995387504,0.129794,29203,44,VA
20180628150636,20180628150637,0628,15,uva,325,108814444,0.624086,29203,44,VA
20180628150637,20180628150638,0628,15,uva,2371,1345462293,0.176711,29203,44,VA
20180628150704,20180628150705,0628,15,uva,5,922543,0.176984,29203,44,VA
20180628150806,20180628150806,0628,15,uva,502,148917788,0.136719,29203,44,VA
20180628150807,20180628150808,0628,15,uva,3018,1668264977,0.079883,29203,44,VA
20180628150932,20180628150933,0628,15,uva,3771,1985067317,0.170285,29203,44,VA
20180628150932,20180628150932,0628,15,uva,667,193686852,0.106898,29203,44,VA
20180628150932,20180628150932,0628,15,uva,7,951050,0.144137,29203,44,VA
20180628151047,20180628151047,0628,15,uva,4575,2257225389,0.138475,29203,44,VA
20180628151047,20180628151048,0628,15,uva,836,239707218,0.191067,29203,44,VA
20180628151125,20180628151125,0628,15,uva,8,1140261,0.118777,29203,44,VA
20180628151147,20180628151149,0628,15,uva,5188,2464838451,1.516152,29203,44,VA
20180628151147,20180628151147,0628,15,uva,988,280139257,0.324972,29203,44,VA
20180628151304,20180628151304,0628,15,uva,10,1568111,0.17352,29203,44,VA
20180628151311,20180628151312,0628,15,uva,1180,334822630,0.212122,29203,44,VA
20180628151314,20180628151314,0628,15,uva,6052,2768051645,0.146863,29203,44,VA
20180628151418,20180628151418,0628,15,uva,1213,348967313,0.761015,29203,44,VA
20180628151423,20180628151424,0628,15,uva,6412,3046714187,0.310575,29203,44,VA
20180628151534,20180628151534,0628,15,uva,1287,373828335,0.568785,29203,44,VA
20180628151544,20180628151545,0628,15,uva,6734,3358920811,0.757022,29203,44,VA
20180628151648,20180628151648,0628,15,uva,1304,386958383,0.268065,29203,44,VA
20180628151650,20180628151651,0628,15,uva,6924,3606787953,0.406958,29203,44,VA
20180628151740,20180628151741,0628,15,uva,1309,388965419,0.562176,29203,44,VA
20180628151754,20180628151755,0628,15,uva,6965,3646570793,0.294452,29203,44,VA
20180628151841,20180628151841,0628,15,uva,1317,393954165,0.232279,29203,44,VA
20180628151856,20180628151856,0628,15,uva,7060,3761977010,0.044196,29203,44,VA
20180628152012,20180628152012,0628,15,uva,7155,3874416117,0.1795,29203,44,VA
20180628152027,20180628152027,0628,15,uva,1325,399503903,0.033313,29203,44,VA
20180628152124,20180628152124,0628,15,uva,1330,401125452,0.560315,29203,44,VA
20180628152126,20180628152128,0628,15,uva,7205,3935307486,1.786777,29203,44,VA
20180628152255,20180628152256,0628,15,uva,7297,4037045076,0.766784,29203,44,VA
20180628152255,20180628152255,0628,15,uva,1345,406763011,0.565994,29203,44,VA
20180628152343,20180628152343,0628,15,uva,7355,4110665232,0.160423,29203,44,VA
20180628152359,20180628152359,0628,15,uva,1350,409647092,0.065375,29203,44,VA
20180628152435,20180628152436,0628,15,uva,11,3354984,0.735032,29203,44,VA
20180628152444,20180628152445,0628,15,uva,7456,4228849051,0.508385,29203,44,VA
20180628152527,20180628152527,0628,15,uva,1357,413143684,0.09454,29203,44,VA
20180628152630,20180628152630,0628,15,uva,1373,415250443,0.203343,29203,44,VA
20180628152644,20180628152645,0628,15,uva,7488,4241950863,0.266489,29203,44,VA
20180628152719,20180628152719,0628,15,uva,1374,415260544,0.023201,29203,44,VA
20180628152751,20180628152751,0628,15,uva,7526,4245642751,0.028953,29203,44,VA
20180628152841,20180628152841,0628,15,uva,14,3483822,0.168175,29203,44,VA
20180628152842,20180628152842,0628,15,uva,2058,448100587,0.060943,29203,44,VA
20180628152854,20180628152854,0628,15,uva,8285,4298584050,0.054276,29203,44,VA
20180628152947,20180628152947,0628,15,uva,19,4226761,0.401899,29203,44,VA
20180628153001,20180628153001,0628,15,uva,9343,4427006672,0.149621,29203,44,VA
20180628153007,20180628153007,0628,15,uva,2880,487958502,0.022936,29203,44,VA
20180628153125,20180628153125,0628,15,uva,3588,527956272,0.125793,29203,44,VA
20180628153130,20180628153130,0628,15,uva,10311,4568842938,0.034815,29203,44,VA
20180628153243,20180628153243,0628,15,uva,20,4645856,0.200374,29203,44,VA
20180628153256,20180628153256,0628,15,uva,4069,556818601,0.196377,29203,44,VA
20180628153257,20180628153257,0628,15,uva,11063,4682025683,0.149336,29203,44,VA
20180628153257,20180628153257,0628,15,uva,21,4890539,0.164206,29203,44,VA
20180628153408,20180628153409,0628,15,uva,13554,4910294851,0.114491,29203,44,VA
20180628153408,20180628153408,0628,15,uva,5680,613737807,0.109233,29203,44,VA
20180628153521,20180628153521,0628,15,uva,6509,671759056,0.146371,29203,44,VA
20180628153522,20180628153522,0628,15,uva,14837,5095451180,0.147445,29203,44,VA
20180628153626,20180628153626,0628,15,uva,7355,721488646,0.041053,29203,44,VA
20180628153626,20180628153627,0628,15,uva,15883,5213447699,0.043517,29203,44,VA
20180628153740,20180628153740,0628,15,uva,22,4915122,0.141734,29203,44,VA
20180628153751,20180628153752,0628,15,uva,17317,5457027641,0.100409,29203,44,VA
20180628153751,20180628153751,0628,15,uva,8073,766456009,0.093832,29203,44,VA
20180628153917,20180628153917,0628,15,uva,18475,5636447420,0.269228,29203,44,VA
20180628153921,20180628153921,0628,15,uva,8855,816407983,0.072503,29203,44,VA
20180628154008,20180628154008,0628,15,uva,25,4988060,0.23386,29203,44,VA
20180628154033,20180628154033,0628,15,uva,9670,866412599,0.069782,29203,44,VA
20180628154034,20180628154034,0628,15,uva,19792,5845911284,0.121006,29203,44,VA
20180628154124,20180628154125,0628,15,uva,27,5069634,0.19284,29203,44,VA
20180628154135,20180628154135,0628,15,uva,10525,888749042,0.153592,29203,44,VA
20180628154137,20180628154141,0628,15,uva,20812,6043725025,3.743538,29203,44,VA
